FacilityType,SupplyChainFlow,ShipToParty,ShipToName,ABCClass,ParentName,ShipToCountry,Material,MaterialDescription,Commodity,ProductGroup,ProductOrigin,QuantityInMT,TotalSalesValue,TotalCOGS,GM,TotalStorageCostPerYear,TotalHandlingCost,TotalDemurrageCost,IOC,TotalTransportCost,CBM,SGA,CBMAI,EBITAI,Segment
Daalimpex Harlingen - NL,EU to EU Direct,4013088,BIDFOOD SLOVAKIA S.R.O.,C,Bidfood,Slovakia,121582,AWAR UHT CRM EX YIELD 12X1L CTN EU,Cons. UHT,UHT Cream,Netherlands,12.286,23742.72,22581.982494198404,1160.7375058015969,163.86509737380084,97.13993994531113,0,656.7817044017693,3107.3668266126024,-2207.6343581301176,1159.6961208149185,-2864.416062531887,-4024.112183346805,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4013088,BIDFOOD SLOVAKIA S.R.O.,C,Bidfood,Slovakia,121679,AWAR UHT CHF CLA EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,10.471,28771.2,26738.333733926127,2032.8662660738737,140.4640527533487,82.7895418498578,0,597.2073514705454,2607.633173387398,-798.0205019167311,988.3752304291886,-1395.2278533872764,-2383.603083816465,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4013290,PIER 7 FOODS IMPORT GMBH,C,Bidfood,Germany,121582,AWAR UHT CRM EX YIELD 12X1L CTN EU,Cons. UHT,UHT Cream,Netherlands,32.475,60678.72,57053.86934423198,3624.850655768023,433.13682542847005,256.7653874103841,0,1736.0398706208252,7603.995368402367,-4669.046925473198,3065.3696502901253,-6405.086796094023,-9470.456446384149,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4013290,PIER 7 FOODS IMPORT GMBH,C,Bidfood,Germany,121628,AWAR UHT CRM CUL CRM EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,22.46,56997.24,53408.78901389393,3588.450986106065,301.29143585523946,177.58123483409474,0,2935.488267063434,4466.57269507971,-1356.9943796629786,2120.0370237264424,-4292.482646726412,-6412.519670452854,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4013290,PIER 7 FOODS IMPORT GMBH,C,Bidfood,Germany,121679,AWAR UHT CHF CLA EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,2.6189999999999998,7490.879999999999,6784.679574840338,706.2004251596609,35.132781411614964,20.70726865674506,0,149.373130885432,552.3519365179243,98.00843857337657,247.21179720122672,-51.36469231205544,-298.5764895132821,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4014042,DAC. S.P. A,C,DAC,Italy,121582,AWAR UHT CRM EX YIELD 12X1L CTN EU,Cons. UHT,UHT Cream,Netherlands,33.645,63829.44,62924.92541712095,904.5145828790555,448.7417549358237,266.01605725703996,0,1798.585417922638,7621.466369488653,-7431.709598802461,3175.8079102081992,-9230.2950167251,-12406.1029269333,Smart Serve
Daalimpex Harlingen - NL,EU to EU Direct,4014042,DAC. S.P. A,C,DAC,Italy,121679,AWAR UHT CHF CLA EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,11.347,31190.4,29620.727744443913,1569.6722555560882,152.2152236264204,89.71568440171295,0,647.1694983417323,2924.6936305113486,-1596.9522829833936,1071.0623378550285,-2244.121781325126,-3315.1841191801545,Smart Serve
Daalimpex Harlingen - NL,EU to EU Direct,4014145,BIDFOOD FLANDERS,C,Bidfood,Belgium,121582,AWAR UHT CRM EX YIELD 12X1L CTN EU,Cons. UHT,UHT Cream,Netherlands,30.715999999999998,56963.520000000004,55076.328976742334,1887.1910232576702,409.67608098108957,242.8577564187023,0,1642.0077187371598,3257.142551499408,-2022.4853656415298,2899.3346937124397,-3664.4930843786897,-6563.827778091129,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4014145,BIDFOOD FLANDERS,C,Bidfood,Belgium,121679,AWAR UHT CHF CLA EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,12.863,34410.6,32434.145297139527,1976.454702860472,172.55172481771794,101.70202242524311,0,733.6336703242886,1531.747448500592,170.4535071169189,1214.160117372806,-563.1801632073697,-1777.3402805801757,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4014147,BIDFOOD BELGIUM,C,Bidfood,Belgium,121582,AWAR UHT CRM EX YIELD 12X1L CTN EU,Cons. UHT,UHT Cream,Netherlands,62.315,116337.6,110569.75669349074,5767.843306509269,831.1292155989257,492.6970012772312,0,3331.2186154807305,4162.086170597908,281.93091903520417,5882.017236576725,-3049.2876964455263,-8931.304933022251,Semi Managed
